trial_number,alpha,min_df,max_df,norm,use_idf,smooth_idf,sublinear_tf,accuracy_train,accuracy_test,accuracy_mean
169,0.7295034742135799,1,0.8743884876725855,,True,False,True,0.834709953773776,0.6835650319829424,0.7591374928783592
170,0.7699958729245834,151,0.8786309817293683,,True,False,True,0.7695175493500789,0.7369722814498934,0.7532449153999861
171,0.8963629788828889,1,0.899383798621801,,True,False,True,0.8342843356601974,0.6855778251599147,0.7599310804100561
172,0.949935126602228,101,0.8989813987375492,,True,False,True,0.7709400697831623,0.737501066098081,0.7542205679406216
173,0.8006866524484526,1,0.8710355056283882,,True,False,True,0.8345278711583414,0.6844349680170576,0.7594814195876995
174,0.8239490900010256,101,0.9129856690962783,,True,False,True,0.7709446218485483,0.7375181236673773,0.7542313727579628
175,1.2039418328601557,1,0.8830104056503001,,True,False,True,0.8332601209483773,0.689501066098081,0.7613805935232292
176,1.2545786814409159,201,0.8699949038920146,,True,False,True,0.7674600157956669,0.7361876332622601,0.7518238245289635
177,1.4164920048795477,101,0.8794781527307335,,True,False,True,0.7709309656523906,0.7374840085287846,0.7542074870905876
178,1.7009119699438688,1,0.8587587374906606,,True,False,True,0.8318762930710737,0.6944648187633262,0.7631705559172
179,2.2632293635433465,251,0.8559384269687726,,True,False,True,0.7640004461024078,0.7332366737739872,0.7486185599381975
180,1.6668649503084993,101,0.8433185055641824,,True,False,True,0.7709036532600755,0.7374840085287846,0.75419383089443
181,1.0903000785750612,1,0.9167686945082867,,True,False,True,0.8336288382446325,0.688136460554371,0.7608826493995018
182,1.1047464067621011,51,0.8729107927410524,,True,False,True,0.7708262681485157,0.7347889125799574,0.7528075903642366
183,0.9375868202400471,1,0.8816088347820328,,True,False,True,0.834090872881298,0.6859701492537313,0.7600305110675147
184,0.9490445941766501,151,0.8946103972637576,,True,False,True,0.7695038931539213,0.7368699360341151,0.7531869145940182
185,1.196187095730732,1,0.9319416321567829,,True,False,True,0.8332988135041571,0.6895351812366738,0.7614169973704155
186,1.9146808890420626,101,0.9356842214623506,,True,False,True,0.7708899970639178,0.7374157782515991,0.7541528876577585
187,1.5247976879827767,201,0.9237405072698538,,True,True,True,0.7674144951418083,0.7362388059701492,0.7518266505559787
188,1.2804855158948676,1,0.9095002366708544,,True,False,True,0.8330347937117769,0.6903027718550107,0.7616687827833938
189,1.291081539644148,51,0.9027129269434276,,True,False,True,0.7707966797235075,0.7348059701492538,0.7528013249363806
190,1.1598045742330807,151,0.9413055609824176,,False,False,True,0.775237219507421,0.7414925373134328,0.7583648784104269
